id,nom,categorie,sous_categorie,categorie_v1,sous_categorie_v1,ville_region,adresse,telephone,latitude,longitude,source,statut_verification
151,Commissariat central de police,Administration & Services publics,Police / gendarmerie,securite,police,Djibouti-ville,Bd de la Republique,+253 21 35 27 61,11.5975362,43.1490927,google_places,geolocalise
152,Brigade de gendarmerie PK13,Administration & Services publics,Police / gendarmerie,securite,gendarmerie,Balbala,PK13,+253 21 36 28 28,11.5634734,43.0824642,google_places,geolocalise
153,Brigade de gendarmerie PK12,Administration & Services publics,Police / gendarmerie,securite,gendarmerie,Balbala,PK12,,11.5517049,43.0822041,google_places,geolocalise
154,Etat-major de la Gendarmerie Nationale,Administration & Services publics,Police / gendarmerie,securite,gendarmerie,Djibouti-ville,Centre-ville,,11.592774,43.1503581,google_places,geolocalise
155,UNFPA Djibouti,Diplomatie & Organisations internationales,Agence ONU,organisation_internationale,agence ONU,Djibouti-ville,"Rue de Khartoum, Heron",+253 77 56 60 58,11.6156153,43.1482273,google_places,geolocalise
156,UNICEF Djibouti,Diplomatie & Organisations internationales,Agence ONU,organisation_internationale,agence ONU,Djibouti-ville,Heron,,11.6180352,43.1509179,google_places,geolocalise
157,Port de Djibouti (port historique),Transport & Logistique,Port / terminal,logistique,port,Djibouti-ville,Ave General Galleni,+253 77 81 62 48,11.6087133,43.1425491,google_places,geolocalise
158,Port de Doraleh (DMP),Transport & Logistique,Port / terminal,logistique,port polyvalent,Doraleh,Doraleh,,11.5938528,43.1056507,google_places,geolocalise
159,SGTD - Societe de Gestion du Terminal a Conteneurs de Doraleh,Transport & Logistique,Port / terminal,logistique,terminal a conteneurs,Doraleh,Port de Doraleh,+253 21 31 73 17,11.5986431,43.1027029,google_places,geolocalise
160,Djibouti Container Terminal,Transport & Logistique,Port / terminal,logistique,terminal a conteneurs,Doraleh,Doraleh,,11.604887,43.1389836,google_places,geolocalise
161,Djibouti Telecom - Direction commerciale (siege),Télécom & Tech,Opérateur télécom,telecom,operateur telecom,Djibouti-ville,Centre-ville,,11.5983649,43.1480758,google_places,geolocalise
162,Djibouti Telecom - Agence Aviation,Télécom & Tech,Opérateur télécom,telecom,agence,Djibouti-ville,"Route de l'aeroport, Gabode 1",,11.5695708,43.152577,google_places,geolocalise
163,Djibouti Telecom - Agence Balbala Cheikh Moussa,Télécom & Tech,Opérateur télécom,telecom,agence,Balbala,Arrondissement 5,+253 77 80 27 97,11.5632004,43.1163818,google_places,geolocalise
164,Djibouti Telecom - Agence Farahad,Télécom & Tech,Opérateur télécom,telecom,agence,Balbala,Farahad,+253 77 59 06 46,11.552895,43.0891524,google_places,geolocalise
165,Djibouti Telecom - Agence Wassel,Télécom & Tech,Opérateur télécom,telecom,agence,Djibouti-ville,Bd de Gaulle,+253 77 73 65 63,11.5905401,43.1516162,google_places,geolocalise
166,Djibouti Telecom - Agence Tadjourah,Télécom & Tech,Opérateur télécom,telecom,agence,Tadjourah,Quartier 4,+253 77 83 50 16,11.825138,42.590275,google_places,geolocalise
167,La Poste de Djibouti - Agence Ali Sabieh,Administration & Services publics,Bureau de poste,services_publics,bureau de poste,Ali Sabieh,"Place du 27 Juin, RN5",+253 27 42 61 36,11.154854,42.705916,google_places,geolocalise
168,ONEAD (siege),Administration & Services publics,Service des eaux / électricité,services_publics,eau et assainissement,Djibouti-ville,Bd de la Republique,+253 21 35 31 07,11.6025422,43.1516596,google_places,geolocalise
169,ONEAD - Agence Moulk Centre,Administration & Services publics,Ministère / institution d'État,services_publics,agence,Djibouti-ville,Route de l'aeroport,+253 21 35 82 49,11.5682224,43.1526279,google_places,geolocalise
170,ONEAD - Agence Biokeyt,Administration & Services publics,Ministère / institution d'État,services_publics,agence,Balbala,Biokeyt,,11.5499003,43.1047917,google_places,geolocalise
171,ONEAD - Centre de formation,Éducation & Formation,Centre de formation,services_publics,formation,Damerjog,Damerjog,+253 21 35 31 07,11.5247501,43.1741479,google_places,geolocalise
172,Electricite de Djibouti (EDD) - siege,Administration & Services publics,Service des eaux / électricité,services_publics,electricite,Djibouti-ville,47 Bd de la Republique,+253 21 35 53 68,11.601641,43.1510747,google_places,geolocalise
173,Salon Enti Ajmal,Services à la personne,Coiffure / beauté / spa,services,salon de beaute,Balbala,Cite Hodan,+253 77 07 63 98,11.5588132,43.0967127,google_places,geolocalise
174,SAM Beauty & Spa,Services à la personne,Coiffure / beauté / spa,services,spa / beaute,Djibouti-ville,Route de l'aeroport,+253 77 27 00 00,11.5680845,43.1596473,google_places,geolocalise
175,Miss Ebene,Services à la personne,Coiffure / beauté / spa,services,salon de coiffure,Djibouti-ville,Centre-ville,+253 21 35 45 42,11.5897071,43.141195,google_places,geolocalise
176,Salon S Beauty,Services à la personne,Coiffure / beauté / spa,services,salon de coiffure,Djibouti-ville,Q4,+253 77 43 23 46,11.5808624,43.1410176,google_places,geolocalise
177,Sam Barber and Spa,Services à la personne,Coiffure / beauté / spa,services,barbier,Djibouti-ville,Haramous,+253 77 11 91 91,11.568101,43.1592572,google_places,geolocalise
178,SSH Beauty Lounge,Services à la personne,Coiffure / beauté / spa,services,salon de beaute,Djibouti-ville,Rue d'Ethiopie,+253 77 73 71 25,11.593925,43.1462537,google_places,geolocalise
179,D'Aesthetic Clinic & Beauty Salon,Services à la personne,Informatique / réparation,services,clinique esthetique,Djibouti-ville,Gabode 3,+253 77 20 09 27,11.5689504,43.1523619,google_places,geolocalise
180,Queens Spa,Services à la personne,Coiffure / beauté / spa,services,spa,Djibouti-ville,Marabout,+253 21 34 69 99,11.6018793,43.1465588,google_places,geolocalise
181,Coiffeur La Reine,Services à la personne,Coiffure / beauté / spa,services,salon de coiffure,Djibouti-ville,Gabode,+253 77 03 65 65,11.5685324,43.1524311,google_places,geolocalise
182,Salon Moulki,Services à la personne,Coiffure / beauté / spa,services,salon de coiffure,Djibouti-ville,Q5,+253 77 70 57 32,11.5847792,43.1477551,google_places,geolocalise
183,Arta Electronique,Commerce & Courses,Électronique / téléphonie,commerce,electronique,Djibouti-ville,Route de l'aeroport,+253 21 35 07 00,11.5597544,43.1517461,google_places,geolocalise
184,Hassan Waraabe Electronic,Commerce & Courses,Électronique / téléphonie,commerce,electronique,Djibouti-ville,Q7,+253 77 84 11 03,11.5777047,43.1426275,google_places,geolocalise
185,Future Technology,Commerce & Courses,Électronique / téléphonie,commerce,telephonie / cameras,Djibouti-ville,Centre-ville,+253 77 23 56 07,11.5919052,43.147317,google_places,geolocalise
186,Djibtvplus,Commerce & Courses,Électronique / téléphonie,commerce,IPTV / electronique,Djibouti-ville,Q4,+253 77 75 79 34,11.5797024,43.1496051,google_places,geolocalise
187,Electronique Hamreiteh,Commerce & Courses,Électronique / téléphonie,commerce,electronique,Balbala,Hayableh,+253 77 84 06 45,11.566451,43.1032348,google_places,geolocalise
188,Magasin Numerique 2,Commerce & Courses,Électronique / téléphonie,commerce,telephonie,Djibouti-ville,Rue de Rome,+253 21 35 75 26,11.5936261,43.147357,google_places,geolocalise
189,Google Electronic and Repair Mobiles,Commerce & Courses,Électronique / téléphonie,commerce,reparation telephones,Djibouti-ville,Q1 Bd 14,+253 77 83 14 05,11.591845,43.1476276,google_places,geolocalise
190,Garage Tayio,Services automobile,Garage / réparation,services,garage automobile,Balbala,Balbala,+253 77 05 00 40,11.567413,43.121014,google_places,geolocalise
191,Garage Atika,Services automobile,Garage / réparation,services,garage automobile,Djibouti-ville,Rue Guelleh Batal,+253 77 82 70 83,11.5670254,43.1440199,google_places,geolocalise
192,Garage STCD,Services automobile,Garage / réparation,services,garage automobile,Djibouti-ville,Gabode,+253 77 09 23 04,11.5672528,43.1440138,google_places,geolocalise
193,Point S Djibouti,Services automobile,Contrôle technique / pneus,services,pneumatiques,Djibouti-ville,Rue de la Siesta,,11.5796014,43.1574233,google_places,geolocalise
194,Inchcape Djibouti (concessionnaire),Services automobile,Concessionnaire auto,commerce,concessionnaire auto,Djibouti-ville,Saline Nord Lot 51,+253 77 74 50 50,11.5880282,43.1336869,google_places,geolocalise
195,Garage Hakuna Matata,Services automobile,Garage / réparation,services,garage / carrosserie,Djibouti-ville,Gabode 5,+253 77 44 99 88,11.5662237,43.1442875,google_places,geolocalise
196,La Cle Minute,Services automobile,Garage / réparation,services,serrurerie auto,Djibouti-ville,Gabode,+253 77 79 56 90,11.5720558,43.1455324,google_places,geolocalise
197,Garage & Location Roberto,Services automobile,Location de voitures,services,location / garage,Djibouti-ville,Haramous,+253 77 05 80 40,11.5747677,43.1591194,google_places,geolocalise
198,A.C. Ries (Nissan),Services automobile,Concessionnaire auto,commerce,concessionnaire auto,Djibouti-ville,Route de l'aeroport,+253 21 35 26 56,11.5758375,43.1507969,google_places,geolocalise
199,Boulangerie Le Moulin,Alimentation & Restauration,Pâtisserie / boulangerie,restauration,boulangerie-patisserie,Djibouti-ville,Gabode,+253 21 34 21 45,11.5653216,43.1462378,google_places,geolocalise
200,HanCake's,Alimentation & Restauration,Pâtisserie / boulangerie,restauration,patisserie-cafe,Djibouti-ville,Rue de Rome,+253 77 52 52 93,11.59487,43.1474836,google_places,geolocalise
201,The Camel Coffee Shop,Alimentation & Restauration,Café / salon de thé,restauration,cafe,Djibouti-ville,Heron,+253 77 08 11 22,11.6084375,43.1479375,google_places,geolocalise
202,L'O Delices - Patisserie,Alimentation & Restauration,Pâtisserie / boulangerie,restauration,patisserie,Djibouti-ville,Gabode,+253 77 49 20 05,11.5728008,43.1486734,google_places,geolocalise
203,Patisserie d'Ambouli,Alimentation & Restauration,Pâtisserie / boulangerie,restauration,patisserie,Djibouti-ville,Centre-ville,+253 21 34 06 80,11.5960787,43.1466794,google_places,geolocalise
204,Boulangerie Fournile,Alimentation & Restauration,Pâtisserie / boulangerie,restauration,boulangerie 24h/24,Djibouti-ville,Bd de Gaulle,+253 77 62 47 14,11.5903679,43.1513796,google_places,geolocalise
205,Bawadi Bakery,Alimentation & Restauration,Pâtisserie / boulangerie,restauration,boulangerie,Djibouti-ville,Bawadi Mall,+253 21 34 03 57,11.5906452,43.1344601,google_places,geolocalise
206,DjibHouse,Alimentation & Restauration,Pâtisserie / boulangerie,restauration,boulangerie-patisserie,Balbala,Balbala,+253 77 43 91 20,11.5656754,43.1324222,google_places,geolocalise
207,Cafe Barbera Djibouti,Alimentation & Restauration,Café / salon de thé,restauration,cafe,Djibouti-ville,Haramous,+253 77 63 09 56,11.5780557,43.1573727,google_places,geolocalise
208,Plage de Douda,Géographie & Patrimoine naturel,Plage,tourisme,plage,Region d'Arta,Douda,+253 77 84 44 44,11.5182582,43.1912799,google_places,geolocalise
209,Plage de la Mangrove (Godoria),Géographie & Patrimoine naturel,Plage,tourisme,plage / mangrove,Region d'Obock,Cote nord,,11.7243114,43.2123996,google_places,geolocalise
210,Plage Douda (reservee aux femmes),Géographie & Patrimoine naturel,Plage,tourisme,plage,Region d'Arta,Douda,,11.5227061,43.1886395,google_places,geolocalise
211,Carre Beach (Triton Beach),Géographie & Patrimoine naturel,Plage,tourisme,plage urbaine,Djibouti-ville,Plateau du Serpent,,11.6060357,43.1575326,google_places,geolocalise
212,Plage du Goubet,Géographie & Patrimoine naturel,Plage,tourisme,plage,Region de Tadjourah,Goubet al-Kharab,,11.5273549,42.5238547,google_places,geolocalise
213,Plage des Sables Blancs,Géographie & Patrimoine naturel,Plage,tourisme,plage,Tadjourah,Sable Blanc,+253 77 81 28 26,11.7790961,42.9249378,google_places,geolocalise
214,Plage du Heron,Géographie & Patrimoine naturel,Plage,tourisme,plage urbaine,Djibouti-ville,Heron,+253 77 21 42 23,11.6147466,43.1466261,google_places,geolocalise
215,Plage de Doraleh (Khor Ambado est),Géographie & Patrimoine naturel,Plage,tourisme,plage,Doraleh,Doraleh,,11.5937936,43.0653189,google_places,geolocalise
216,Arta Plage,Géographie & Patrimoine naturel,Plage,tourisme,plage,Region d'Arta,Arta Plage,+253 77 11 34 18,11.5838023,42.8232643,google_places,geolocalise
217,Place Menelik,Géographie & Patrimoine naturel,Monument / lieu historique,patrimoine,place historique,Djibouti-ville,Centre-ville,,11.5948511,43.1468283,google_places,geolocalise
218,Place Rimbaud (Place Mahmoud Harbi),Géographie & Patrimoine naturel,Monument / lieu historique,patrimoine,place historique,Djibouti-ville,Centre-ville,,11.5912156,43.1462865,google_places,geolocalise
219,Place de Dikhil,Géographie & Patrimoine naturel,Monument / lieu historique,patrimoine,place,Dikhil,Dikhil,+253 77 47 65 75,11.106971,42.3699849,google_places,geolocalise
220,Elevage de Dikhil,"Industrie, Énergie & Grandes entreprises",Production industrielle,agriculture,elevage,Dikhil,Dikhil,+253 77 21 83 65,11.1057311,42.3726552,google_places,geolocalise
221,Magasin chez Zeinab,Commerce & Courses,Boutique spécialisée,commerce,boutique,Ali Sabieh,Ali Sabieh,+253 77 04 04 66,11.1525594,42.7053456,google_places,geolocalise
222,Himilo Electronics & Cosmetics,Commerce & Courses,Électronique / téléphonie,commerce,electronique,Ali Sabieh,BP 1972,+253 77 16 69 78,11.1524422,42.7059111,google_places,geolocalise
223,Alla Aamiin Collection,Commerce & Courses,Boutique spécialisée,commerce,boutique,Ali Sabieh,Ali Sabieh,,11.1529078,42.7065235,google_places,geolocalise
224,Magasin chez Choli,Commerce & Courses,Boutique spécialisée,commerce,boutique,Ali Sabieh,Ali Sabieh,,11.1524189,42.7053611,google_places,geolocalise
225,Epicerie Lalayeh,Commerce & Courses,Épicerie / supérette,commerce,epicerie,Ali Sabieh,Ali Sabieh,+253 77 87 33 10,11.1491559,42.7105026,google_places,geolocalise
226,Boutique Shineh,Commerce & Courses,Épicerie / supérette,commerce,epicerie,Ali Sabieh,Ali Sabieh,+253 27 42 60 42,11.1470554,42.7101551,google_places,geolocalise
227,Boutique Adam Ebraahim,Commerce & Courses,Boutique spécialisée,commerce,boutique-cafe,Dikhil,Dikhil,+253 77 39 07 66,11.1101875,42.3435625,google_places,geolocalise
228,Royal Kebab Djibouti,Alimentation & Restauration,Fast-food & snack,restauration,fast-food,Djibouti-ville,Saline Ouest,,11.5890545,43.1388231,google_places,geolocalise
229,City Burger,Alimentation & Restauration,Fast-food & snack,restauration,fast-food 24h/24,Djibouti-ville,Rue d'Ethiopie,+253 21 35 44 45,11.5943669,43.1461433,google_places,geolocalise
230,Kayan's Chicken,Alimentation & Restauration,Fast-food & snack,restauration,fast-food,Djibouti-ville,Centre-ville,+253 77 40 44 04,11.5939024,43.1460913,google_places,geolocalise
231,O'Tacos de Lyon,Alimentation & Restauration,Fast-food & snack,restauration,tacos,Djibouti-ville,Ambouli,+253 77 60 08 83,11.5576914,43.1402247,google_places,geolocalise
232,O-Point Burger (Ambouli),Alimentation & Restauration,Fast-food & snack,restauration,fast-food,Djibouti-ville,Route Nelson Mandela,+253 77 86 63 85,11.5630602,43.1337127,google_places,geolocalise
233,O-Point Burger (Bawadi Mall),Alimentation & Restauration,Fast-food & snack,restauration,fast-food,Djibouti-ville,Bawadi Mall,+253 77 86 63 85,11.5904322,43.133535,google_places,geolocalise
234,Tacos King,Alimentation & Restauration,Fast-food & snack,restauration,tacos,Djibouti-ville,Bd de Gaulle,+253 77 40 17 20,11.5891233,43.1517785,google_places,geolocalise
235,CTR Fried Chicken,Alimentation & Restauration,Fast-food & snack,restauration,fast-food,Djibouti-ville,"Hamoudi Mall, 2e etage",+253 77 77 11 11,11.5926416,43.1452855,google_places,geolocalise
236,Bendo's Food,Alimentation & Restauration,Fast-food & snack,restauration,restaurant a emporter,Djibouti-ville,Gabode,+253 77 11 35 78,11.5720216,43.1513767,google_places,geolocalise
237,Pizzeria Snack,Alimentation & Restauration,Fast-food & snack,restauration,snack-pizzeria,Djibouti-ville,Q7 bis,+253 77 49 98 77,11.5712498,43.1473624,google_places,geolocalise
238,Chez Davido,Alimentation & Restauration,Restaurant africain / local,restauration,restaurant africain,Djibouti-ville,Aviation,+253 77 42 01 56,11.5597264,43.145978,google_places,geolocalise
239,Moonlight Restaurant,Alimentation & Restauration,Restaurant international,restauration,restaurant bord de mer,Djibouti-ville,Venise,+253 21 34 20 63,11.5998691,43.14194,google_places,geolocalise
240,Cafe de la Gare,Alimentation & Restauration,Restaurant international,restauration,restaurant francais,Djibouti-ville,Plateau du Serpent,+253 21 35 15 30,11.603856,43.1526141,google_places,geolocalise
241,Papou's Coffee Corner,Alimentation & Restauration,Café / salon de thé,restauration,coffee shop,Djibouti-ville,Zone industrielle sud,+253 77 23 08 28,11.5740594,43.1513645,google_places,geolocalise
242,Restaurant La Mer Rouge,Alimentation & Restauration,Restaurant international,restauration,restaurant fruits de mer,Djibouti-ville,Nelson Mandela,+253 21 34 00 05,11.5578887,43.1410723,google_places,geolocalise
243,La Pergola,Alimentation & Restauration,Restaurant international,restauration,restaurant-piscine,Djibouti-ville,Route de l'aeroport,+253 21 34 08 83,11.5595842,43.1481047,google_places,geolocalise
244,Chez Liza,Alimentation & Restauration,Restaurant africain / local,restauration,restaurant,Obock,Obock,,11.9646926,43.2883684,google_places,geolocalise
245,Cabinet Dentaire Hiliyeh,Santé,Cabinet dentaire,sante,cabinet dentaire,Djibouti-ville,Centre-ville,+253 77 62 47 92,11.5898125,43.1406875,google_places,geolocalise
246,Clinique Dentaire (Cite Dawaleh),Santé,Cabinet dentaire,sante,cabinet dentaire,Djibouti-ville,"Cite Dawaleh, Lot 76, Gabode",+253 77 11 50 09,11.5723741,43.1476483,google_places,geolocalise
247,2M Dental Clinic,Santé,Cabinet dentaire,sante,cabinet dentaire,Djibouti-ville,Saline Ouest,+253 21 35 10 19,11.586933,43.1379804,google_places,geolocalise
248,Denta Clinic (Dr Safwat),Santé,Cabinet dentaire,sante,cabinet dentaire,Djibouti-ville,Saline Nord Lot 75,+253 21 35 55 89,11.585052,43.1346262,google_places,geolocalise
249,Clinique Pasteur - Ophtalmologie Dr Issa Bogoreh,Santé,Centre médical spécialisé,sante,ophtalmologie,Djibouti-ville,BP 386,+253 21 35 07 07,11.5702124,43.1499339,google_places,geolocalise
250,Clinique Dentaire Dr Nasihe Fathi,Santé,Cabinet dentaire,sante,cabinet dentaire,Djibouti-ville,Rue d'Ethiopie,+253 21 35 67 69,11.5952356,43.1463867,google_places,geolocalise
251,Europcar Djibouti,Services automobile,Location de voitures,services,location de voitures,Djibouti-ville,Gabode,+253 21 32 94 44,11.5734375,43.1515625,google_places,geolocalise
252,Hertz Djibouti,Services automobile,Location de voitures,services,location de voitures,Djibouti-ville,Aeroport,+253 77 82 81 20,11.5527808,43.1485192,google_places,geolocalise
253,Lootah Rent A Car,Services automobile,Location de voitures,services,location de voitures,Djibouti-ville,"Haramous, face ambassade USA",+253 77 07 04 24,11.5624488,43.1673592,google_places,geolocalise
254,Goldcar Djibouti,Services automobile,Location de voitures,services,location de voitures,Djibouti-ville,Haramous,+253 77 38 05 36,11.5717786,43.1579331,google_places,geolocalise
255,Pyramid Rent a Car & Car Care,Services automobile,Garage / réparation,services,location / entretien auto,Djibouti-ville,Rue de la Siesta,+253 21 35 82 03,11.5793235,43.1574742,google_places,geolocalise
256,Habib Location de Voiture et Guide,Tourisme & Loisirs,Agence de voyage / tour-opérateur,services,location / guide,Region de Tadjourah,,+253 77 65 98 24,11.7709165,42.5023689,google_places,geolocalise
257,Groupe Marill (concession auto),Services automobile,Concessionnaire auto,commerce,concessionnaire auto,Djibouti-ville,57 RN2,+253 21 32 94 00,11.5731212,43.1516851,google_places,geolocalise
258,Quincaillerie Nayef,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Djibouti-ville,Avenue 13,+253 77 84 52 12,11.5887782,43.1480094,google_places,geolocalise
259,Quincaillerie Tayo,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Balbala,Marche Mijadeer,+253 77 76 16 04,11.5583792,43.1119496,google_places,geolocalise
260,Quincaillerie Al-Doubai Ismael Ahmed,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Djibouti-ville,Avenue 13,+253 77 54 11 01,11.5886154,43.1471172,google_places,geolocalise
261,BricoDiscount,Commerce & Courses,Quincaillerie / bricolage,commerce,bricolage / quincaillerie,Djibouti-ville,Rue de Venise,+253 21 35 15 45,11.5904147,43.1371451,google_places,geolocalise
262,Quincaillerie Al Aoul,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Damerjog,Damerjog,+253 77 66 42 62,11.5181209,43.1435737,google_places,geolocalise
263,Quincaillerie Al Akram,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Djibouti-ville,Avenue 13,+253 77 83 43 62,11.5889381,43.1489062,google_places,geolocalise
264,Quincaillerie Dingqi,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Djibouti-ville,Avenue 13,+253 21 35 50 41,11.5887986,43.1482096,google_places,geolocalise
265,Quincaillerie Abdi,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Djibouti-ville,"Avenue 13, BP 1237",+253 21 35 18 18,11.5890749,43.1463396,google_places,geolocalise
266,Quincaillerie Abu Khaled PK12,Commerce & Courses,Quincaillerie / bricolage,commerce,quincaillerie,Balbala,PK12,+253 77 83 70 01,11.5583955,43.076776,google_places,geolocalise
267,Quincaillerie Ileys Enterprise,Commerce & Courses,Quincaillerie / bricolage,commerce,materiaux de construction,Djibouti-ville,Avenue 13,+253 21 35 34 12,11.5885902,43.1475299,google_places,geolocalise
268,Olympus Gym and Fitness,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Djibouti-ville,Centre-ville,,11.5912613,43.1511857,google_places,geolocalise
269,Olympus Gym VIP,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Djibouti-ville,Gabode,,11.5696856,43.1522018,google_places,geolocalise
270,BM Fitness and Boxing,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport / boxe,Djibouti-ville,Ave Roosevelt,,11.5927675,43.1455474,google_places,geolocalise
271,Moulk Fitness,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Djibouti-ville,Moulk,+253 77 09 35 35,11.5682311,43.1523604,google_places,geolocalise
272,New Gym,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Djibouti-ville,Sud de la ville,,11.5423373,43.1558599,google_places,geolocalise
273,Iftou Bareda Gym,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Djibouti-ville,Ambouli,+253 77 81 05 59,11.5689432,43.1320143,google_places,geolocalise
274,MaHoKa Gym,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Balbala,Cite Hodan 1,,11.825138,42.590275,google_places,geolocalise
275,Big Show Gym Fitness Center,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Djibouti-ville,Q6,+253 77 72 79 72,11.5757947,43.136006,google_places,geolocalise
276,MWR Gym,Tourisme & Loisirs,Complexe sportif / salle de sport,sport,salle de sport,Djibouti-ville,Douda/Sud,,11.5428909,43.149887,google_places,geolocalise
277,Habone-Deka,Commerce & Courses,Vêtements & accessoires,commerce,vetements / bijoux,Djibouti-ville,Avenue 13,+253 77 83 75 12,11.5890991,43.1465266,google_places,geolocalise
278,Top Crazy,Commerce & Courses,Vêtements & accessoires,commerce,vetements,Djibouti-ville,Rue de Rome,+253 77 77 63 63,11.5940566,43.1474073,google_places,geolocalise
279,Sympa Shop,Commerce & Courses,Vêtements & accessoires,commerce,vetements,Djibouti-ville,Rue de Rome,+253 77 77 72 72,11.5930253,43.1471406,google_places,geolocalise
280,Le Bonheur Hommes-Femmes,Commerce & Courses,Vêtements & accessoires,commerce,vetements,Djibouti-ville,Bawadi Mall,+253 21 34 73 58,11.5906127,43.1337776,google_places,geolocalise
281,Moonlight Boubou,Commerce & Courses,Vêtements & accessoires,commerce,vetements traditionnels,Djibouti-ville,Rue des Mouches Q1,+253 77 01 09 31,11.5900879,43.1467616,google_places,geolocalise
282,Amy Collection Shop,Commerce & Courses,Vêtements & accessoires,commerce,vetements,Djibouti-ville,Haramous,+253 77 06 08 08,11.554036,43.16506,google_places,geolocalise
283,Le Tailor,Commerce & Courses,Vêtements & accessoires,commerce,vetements / tailleur,Djibouti-ville,Rue Coubeche,+253 77 26 99 37,11.5934536,43.1451526,google_places,geolocalise
284,Fashion Shop Defile,Commerce & Courses,Vêtements & accessoires,commerce,vetements,Djibouti-ville,Zone industrielle sud,+253 77 41 10 10,11.576819,43.1573513,google_places,geolocalise
285,Boutique SDM,Commerce & Courses,Vêtements & accessoires,commerce,vetements,Djibouti-ville,Centre-ville,+253 77 85 50 83,11.5913807,43.150184,google_places,geolocalise
286,Massida Logistics,Transport & Logistique,Transit / fret / shipping,logistique,logistique / express,Djibouti-ville,Zone industrielle,+253 21 35 15 31,11.5709513,43.1593429,google_places,geolocalise
287,Maritime Transport International (MTI),Transport & Logistique,Transit / fret / shipping,logistique,transit,Djibouti-ville,Centre-ville,+253 21 35 14 55,11.594853,43.1483464,google_places,geolocalise
288,Freight Secure Logistics & Services,Transport & Logistique,Transit / fret / shipping,logistique,transit / logistique,Djibouti-ville,Mohamed Kamil Road,+253 77 06 04 20,11.5720558,43.1455324,google_places,geolocalise
289,Djibouti Transport & Shipping SARL,Transport & Logistique,Transit / fret / shipping,logistique,transport,Djibouti-ville,Marabout,,11.6049683,43.1440763,google_places,geolocalise
290,Transit Marill,Transport & Logistique,Transit / fret / shipping,logistique,transit,Djibouti-ville,Rue Marchand,+253 21 35 11 50,11.5963717,43.1461193,google_places,geolocalise
291,Chab Shipping SARL,Transport & Logistique,Transit / fret / shipping,logistique,shipping,Djibouti-ville,"Imm. Gadileh, Heron, BP 1996",+253 21 35 07 77,11.6087927,43.1480797,google_places,geolocalise
292,"Africa Global Logistics (AGL, ex-Bollore)",Transport & Logistique,Transit / fret / shipping,logistique,logistique,Djibouti-ville,139 Imm. Semiramis,+253 21 32 96 00,11.825138,42.590275,google_places,geolocalise
293,Bollore Transport & Logistics (ancien site),Transport & Logistique,Transit / fret / shipping,logistique,logistique,Djibouti-ville,Rue de Venise,+253 21 32 96 00,11.5819413,43.1311939,google_places,geolocalise
294,Oceangate International Shipping,Transport & Logistique,Transit / fret / shipping,logistique,shipping,Djibouti-ville,Heron,+253 77 32 79 24,11.6107086,43.1525432,google_places,geolocalise
295,Djibouti National Shipping Company,Transport & Logistique,Transit / fret / shipping,logistique,armement national,Djibouti-ville,Rue de Venise,+253 21 34 25 18,11.581171,43.1304303,google_places,geolocalise
296,Ecole primaire Balbala 2,Éducation & Formation,École primaire,education,ecole primaire,Balbala,Balbala 2,+253 21 36 42 45,11.5500317,43.1109207,google_places,geolocalise
297,Ecole primaire Balbala 7,Éducation & Formation,École primaire,education,ecole primaire,Balbala,Balbala 7,+253 77 73 01 23,11.5531483,43.1011258,google_places,geolocalise
298,Ecole primaire Balbala 10,Éducation & Formation,École primaire,education,ecole primaire,Balbala,Balbala 10,,11.5614986,43.0957475,google_places,geolocalise
299,Lycee de Balbala,Éducation & Formation,Lycée (public / privé),education,lycee public,Balbala,Balbala,+253 77 68 18 46,11.5525034,43.112016,google_places,geolocalise
300,CEM Hodan 1,Éducation & Formation,Collège,education,college public,Balbala,Cite Hodan,,11.5564801,43.0982652,google_places,geolocalise
301,College de Fukuzawa,Éducation & Formation,Collège,education,college public,Balbala,Balbala,+253 21 36 08 15,11.5617909,43.1183633,google_places,geolocalise
302,CEM d'Ambouli,Éducation & Formation,Collège,education,college public,Djibouti-ville,Ambouli,+253 21 34 00 02,11.5705398,43.1344395,google_places,geolocalise
303,College de Hodan 2,Éducation & Formation,Collège,education,college public,Balbala,Hodan II,+253 21 36 48 99,11.5527405,43.09272,google_places,geolocalise
304,College de Boulaos,Éducation & Formation,Collège,education,college public,Djibouti-ville,Boulaos,+253 77 21 21 21,11.584363,43.1533705,google_places,geolocalise
